day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;PEARLS;9998;1;9995;30;;;10005;30;;;;;10001.5;0.0
-1;0;BANANAS;4946;1;4945;30;;;4952;30;;;;;4949.0;0.0
-1;100;PEARLS;9996;1;9995;30;;;10002;6;10004;1;10005;30;9999.0;0.0
-1;100;BANANAS;4945;31;;;;;4950;7;4952;31;;;4947.5;0.0
-1;200;BANANAS;4945;22;;;;;4951;1;4952;21;;;4948.0;0.0
-1;200;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;0.0
-1;300;PEARLS;9996;2;9995;23;;;9998;3;10004;2;10005;23;9997.0;0.0
-1;300;BANANAS;4945;25;;;;;4952;25;;;;;4948.5;0.0
-1;400;PEARLS;9998;5;9996;2;9995;23;10004;2;10005;23;;;10001.0;6.0
-1;400;BANANAS;4946;5;4945;25;;;4952;25;;;;;4949.0;0.0
-1;500;PEARLS;10002;1;9996;2;9995;22;10004;2;10005;22;;;10003.0;6.0
-1;500;BANANAS;4945;24;;;;;4952;24;;;;;4948.5;6.0039062
-1;600;BANANAS;4946;2;4945;24;;;4950;9;4952;26;;;4948.0;2.7734375
-1;600;PEARLS;9996;2;9995;24;;;10002;9;10004;2;10005;24;9999.0;9.0
-1;700;PEARLS;9998;7;9995;27;;;10005;27;;;;;10001.5;9.0
-1;700;BANANAS;4946;7;4945;27;;;4952;27;;;;;4949.0;4.765625
-1;800;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;9.0
-1;800;BANANAS;4944;26;;;;;4951;26;;;;;4947.5;16.953125
-1;900;BANANAS;4944;2;4943;27;;;4950;29;;;;;4947.0;22.300781
-1;900;PEARLS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;9.0
-1;1000;BANANAS;4944;28;;;;;4950;2;4951;26;;;4947.0;19.667969
-1;1000;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;9.0
-1;1100;BANANAS;4944;25;;;;;4950;2;4951;23;;;4947.0;18.992188
-1;1100;PEARLS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;9.0
-1;1200;PEARLS;9998;9;9996;2;9995;28;10004;2;10005;28;;;10001.0;9.0
-1;1200;BANANAS;4945;9;4944;30;;;4951;30;;;;;4948.0;15.4375
-1;1300;PEARLS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;9.0
-1;1300;BANANAS;4944;28;;;;;4946;4;4951;28;;;4945.0;13.363281
-1;1400;BANANAS;4945;25;;;;;4951;2;4952;24;;;4948.0;16.742188
-1;1400;PEARLS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;9.0
-1;1500;PEARLS;10002;1;9996;2;9995;20;10004;2;10005;20;;;10003.0;9.0
-1;1500;BANANAS;4950;1;4945;2;4944;20;4951;22;;;;;4950.5;19.15625
-1;1600;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;11.0
-1;1600;BANANAS;4945;23;;;;;4951;1;4952;22;;;4948.0;18.976562
-1;1700;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;11.0
-1;1700;BANANAS;4945;27;;;;;4948;2;4952;27;;;4946.5;13.402344
-1;1800;BANANAS;4946;2;4945;25;;;4952;27;;;;;4949.0;14.519531
-1;1800;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;17.0
-1;1900;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;17.0
-1;1900;BANANAS;4945;31;;;;;4952;31;;;;;4948.5;18.023438
-1;2000;PEARLS;9996;1;9995;25;;;10002;7;10004;1;10005;25;9999.0;17.0
-1;2000;BANANAS;4945;26;;;;;4950;7;4951;1;4952;25;4947.5;18.289062
-1;2100;PEARLS;9995;23;;;;;10005;23;;;;;10000.0;17.0
-1;2100;BANANAS;4945;23;;;;;4952;23;;;;;4948.5;16.996094
-1;2200;BANANAS;4945;32;;;;;4952;32;;;;;4948.5;15.105469
-1;2200;PEARLS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;17.0
-1;2300;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;17.0
-1;2300;BANANAS;4946;2;4945;22;;;4952;24;;;;;4949.0;14.5703125
-1;2400;PEARLS;9998;4;9996;2;9995;23;10004;2;10005;23;;;10001.0;17.0
-1;2400;BANANAS;4951;3;4948;4;4947;25;4953;2;4954;23;;;4952.0;-9.765625
-1;2500;BANANAS;4947;1;4946;20;;;4948;5;4953;21;;;4947.5;-3.03125
-1;2500;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;17.0
-1;2600;BANANAS;4946;25;;;;;4953;25;;;;;4949.5;10.390625
-1;2600;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;17.0
-1;2700;BANANAS;4947;10;4946;24;;;4953;25;;;;;4950.0;6.1171875
